source_sheet,source_row,original_keyword,normalized_region_name,candidate_sido,candidate_sigungu,candidate_parent,match_method,confidence,reason,status,candidate_parents,region_id,parent_region_id
충북,10,영동군,영동군,충청북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-bd81-kr-c601-b3d9-ad70,
충북,11,증평군,증평군,충청북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-bd81-kr-c99d-d3c9-ad70,
충북,12,진천군,진천군,충청북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-bd81-kr-c9c4-cc9c-ad70,
충북,13,괴산군,괴산군,충청북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-bd81-kr-ad34-c0b0-ad70,
충북,14,음성군,음성군,충청북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-bd81-kr-c74c-c131-ad70,
충북,15,단양군,단양군,충청북도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-bd81-kr-b2e8-c591-ad70,
충남,2,공주시,공주시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-acf5-c8fc-c2dc,
충남,3,보령시,보령시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-bcf4-b839-c2dc,
충남,4,아산시,아산시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-c544-c0b0-c2dc,
충남,5,서산시,서산시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-c11c-c0b0-c2dc,
충남,6,논산시,논산시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-b17c-c0b0-c2dc,
충남,7,계룡시,계룡시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-acc4-b8e1-c2dc,
충남,8,당진시,당진시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-b2f9-c9c4-c2dc,
충남,9,금산군,금산군,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-ae08-c0b0-ad70,
충남,10,부여군,부여군,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-bd80-c5ec-ad70,
충남,11,서천군,서천군,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-c11c-cc9c-ad70,
충남,12,청양군,청양군,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-ccad-c591-ad70,
충남,13,홍성군,홍성군,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-d64d-c131-ad70,
충남,14,예산군,예산군,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-c608-c0b0-ad70,
충남,15,태안군,태안군,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-d0dc-c548-ad70,
충남,16,천안시,천안시,충청남도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-cda9-b0a8-kr-cc9c-c548-c2dc,
전북,2,전주시,전주시,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c804-c8fc-c2dc,
전북,5,군산시,군산시,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-ad70-c0b0-c2dc,
전북,6,익산시,익산시,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c775-c0b0-c2dc,
전북,7,정읍시,정읍시,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-c815-c74d-c2dc,
전북,8,남원시,남원시,전북특별자치도,,,no_official_candidate_within_source_sheet,low,No active legal-dong candidate matched within the source-sheet jurisdiction.,unresolved,[],kr-c804-bd81-kr-b0a8-c6d0-c2dc,
