sido,sigungu_count,eupmyeondong_count,living_area_count,source_region_count,structural_region_count,indexable_region_count
강원도,13,114,0,128,0,128
경기도,1,279,0,281,0,281
경남,2,284,0,286,0,286
경북,2,295,0,297,0,297
광주,5,110,0,116,0,116
대구,123,360,0,484,0,484
대전,0,158,0,158,6,158
부산,16,132,0,149,0,149
서울,25,350,0,376,0,376
세종,0,29,0,29,1,29
울산,5,82,0,88,0,88
인천,9,126,0,136,0,136
전남,17,278,0,296,0,296
전북,2,204,0,206,0,206
제주도,0,23,16,39,3,39
충남,1,181,0,182,0,182
충북,2,128,0,130,0,130
