page_id,region_id,keyword,sheet,row,route,status
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b3c4-ace1-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b3c4-ace1-b3d9,도곡동과외,서울,31,/tutor/seoul-kr-c911-b791-ad6c-kr-b3c4-ace1-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c0bc-c131-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c0bc-c131-b3d9,삼성동과외,서울,32,/tutor/seoul-kr-c911-b791-ad6c-kr-c0bc-c131-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c138-ace1-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c138-ace1-b3d9,세곡동과외,서울,33,/tutor/seoul-kr-c911-b791-ad6c-kr-c138-ace1-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c218-c11c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c218-c11c-b3d9,수서동과외,서울,34,/tutor/seoul-kr-c911-b791-ad6c-kr-c218-c11c-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c2e0-c0ac-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c2e0-c0ac-b3d9,강남구 신사동과외,서울,35,/tutor/seoul-kr-c911-b791-ad6c-kr-c2e0-c0ac-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c555-ad6c-c815-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c555-ad6c-c815-b3d9,압구정동과외,서울,36,/tutor/seoul-kr-c911-b791-ad6c-kr-c555-ad6c-c815-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c5ed-c0bc-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c5ed-c0bc-b3d9,역삼동과외,서울,37,/tutor/seoul-kr-c911-b791-ad6c-kr-c5ed-c0bc-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c728-d604-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c728-d604-b3d9,율현동과외,서울,38,/tutor/seoul-kr-c911-b791-ad6c-kr-c728-d604-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c77c-c6d0-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c77c-c6d0-b3d9,일원동과외,서울,39,/tutor/seoul-kr-c911-b791-ad6c-kr-c77c-c6d0-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-c790-ace1-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-c790-ace1-b3d9,자곡동과외,서울,40,/tutor/seoul-kr-c911-b791-ad6c-kr-c790-ace1-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ccad-b2f4-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ccad-b2f4-b3d9,청담동과외,서울,41,/tutor/seoul-kr-c911-b791-ad6c-kr-ccad-b2f4-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ac15-c77c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ac15-c77c-b3d9,강일동과외,서울,42,/tutor/seoul-kr-c911-b791-ad6c-kr-ac15-c77c-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ace0-b355-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ace0-b355-b3d9,고덕동과외,서울,43,/tutor/seoul-kr-c911-b791-ad6c-kr-ace0-b355-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-ae38-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-ae38-b3d9,강동구 길동과외,서울,44,/tutor/seoul-kr-c911-b791-ad6c-kr-ae38-b3d9/region_tutor,HOLD_CONTENT
candidate:tutor:seoul-kr-c911-b791-ad6c-kr-b454-cd0c-b3d9:region_tutor,seoul-kr-c911-b791-ad6c-kr-b454-cd0c-b3d9,둔촌동과외,서울,45,/tutor/seoul-kr-c911-b791-ad6c-kr-b454-cd0c-b3d9/region_tutor,HOLD_CONTENT
