normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
대전도시과학고등학교,high_school,3,1,1,1,manual_review,low,normal
대전봉명중학교,middle_school,2,1,1,1,manual_review,low,normal
대전덕명중학교,middle_school,2,1,1,1,manual_review,low,normal
유성생명과학고등학교,high_school,6,1,1,1,manual_review,low,normal
대전장대중학교,middle_school,3,1,1,1,manual_review,low,normal
대전지족고등학교,high_school,7,1,1,1,manual_review,low,normal
대전어은중학교,middle_school,2,1,1,1,manual_review,low,normal
성덕중학교,middle_school,2,1,1,1,manual_review,low,normal
대덕고등학교,high_school,3,1,1,1,manual_review,low,normal
대전하기중학교,middle_school,3,1,1,1,manual_review,low,normal
대전자운중학교,middle_school,2,1,1,1,manual_review,low,normal
대전외삼중학교,middle_school,3,1,1,1,manual_review,low,normal
대전용산고등학교,high_school,2,1,1,1,manual_review,low,normal
대전생활과학고등학교,high_school,7,1,1,1,manual_review,low,normal
대전법동중학교,middle_school,4,1,1,1,manual_review,low,normal
동대전고등학교,high_school,4,1,1,1,manual_review,low,normal
신탄중앙중학교,middle_school,2,1,1,1,manual_review,low,normal
인성여자고등학교,high_school,4,1,1,1,manual_review,low,normal
인일여자고등학교,high_school,3,1,1,1,manual_review,low,normal
인천중앙여자고등학교,high_school,3,1,1,1,manual_review,low,normal
신흥중학교,middle_school,4,1,1,1,manual_review,low,normal
인천과학고등학교,high_school,10,1,1,1,manual_review,low,normal
영종국제물류고등학교,high_school,5,1,1,1,manual_review,low,normal
용유중학교,middle_school,2,1,1,1,manual_review,low,normal
화도진중학교,middle_school,2,1,1,1,manual_review,low,normal
영화국제관광고등학교,high_school,3,1,1,1,manual_review,low,normal
재능고등학교,high_school,8,1,1,1,manual_review,low,normal
인천남중학교,middle_school,3,1,1,1,manual_review,low,normal
인하대학교사범대학부속고등학교,high_school,10,1,1,1,manual_review,low,normal
인천전자마이스터고등학교,high_school,12,1,1,1,manual_review,low,normal
인천기계공업고등학교,high_school,9,1,1,1,manual_review,low,normal
문학정보고등학교,high_school,2,1,1,1,manual_review,low,normal
선학중학교,middle_school,2,1,1,1,manual_review,low,normal
인천바이오과학고등학교,high_school,4,1,1,1,manual_review,low,normal
인천대건고등학교,high_school,13,1,1,1,manual_review,low,normal
인천정각중학교,middle_school,13,1,1,1,manual_review,low,normal
신명여자고등학교,high_school,14,1,1,1,manual_review,low,normal
인천만수고등학교,high_school,20,1,1,1,manual_review,low,normal
인천남동고등학교,high_school,21,1,1,1,manual_review,low,normal
부평고등학교,high_school,12,1,1,1,manual_review,low,normal
제일고등학교,high_school,11,1,1,1,manual_review,low,normal
인천외국어고등학교,high_school,19,1,1,1,manual_review,low,normal
부평공업고등학교,high_school,5,1,1,1,manual_review,low,normal
인천부흥고등학교,high_school,17,1,1,1,manual_review,low,normal
인천효성고등학교,high_school,10,1,1,1,manual_review,low,normal
서운고등학교,high_school,4,1,1,1,manual_review,low,normal
계양고등학교,high_school,4,1,1,1,manual_review,low,normal
인천예일고등학교,high_school,2,1,1,1,manual_review,low,normal
인천동양중학교,middle_school,2,1,1,1,manual_review,low,normal
계양중학교,middle_school,2,1,1,1,manual_review,low,normal
인천루원중학교,middle_school,4,1,1,1,manual_review,low,normal
서인천고등학교,high_school,6,1,1,1,manual_review,low,normal
인천경서초등학교,elementary_school,2,1,1,1,manual_review,low,normal
문곡고등학교,high_school,10,1,1,1,manual_review,low,normal
한국주얼리고등학교,high_school,4,1,1,1,manual_review,low,normal
불로중학교,middle_school,3,1,1,1,manual_review,low,normal
인천보건고등학교,high_school,8,1,1,1,manual_review,low,normal
인천디자인고등학교,high_school,7,1,1,1,manual_review,low,normal
인천체육고등학교,high_school,16,1,1,1,manual_review,low,normal
덕신고등학교,high_school,9,1,1,1,manual_review,low,normal
삼성초등학교,elementary_school,2,1,1,1,manual_review,low,normal
강남영상미디어고등학교,high_school,3,1,1,1,manual_review,low,normal
심도중학교,middle_school,2,1,1,1,manual_review,low,normal
산마을고등학교,high_school,4,1,1,1,manual_review,low,normal
한국글로벌셰프고등학교,high_school,2,1,1,1,manual_review,low,normal
강서중학교,middle_school,3,1,1,1,manual_review,low,normal
교동고등학교,high_school,3,1,1,1,manual_review,low,normal
승영중학교,middle_school,3,1,1,1,manual_review,low,normal
서도고등학교,high_school,3,1,1,1,manual_review,low,normal
인천공항초등학교신도분교장,elementary_school,2,1,1,1,manual_review,low,normal
백령고등학교,high_school,4,1,1,1,manual_review,low,normal
대청고등학교,high_school,4,1,1,1,manual_review,low,normal
덕적고등학교,high_school,3,1,1,1,manual_review,low,normal
인천주안남초등학교승봉분교장,elementary_school,3,1,1,1,manual_review,low,normal
인천영흥고등학교,high_school,3,1,1,1,manual_review,low,normal
연평고등학교,high_school,3,1,1,1,manual_review,low,normal
광주충장중학교,middle_school,4,1,1,1,manual_review,low,normal
조선대학교여자고등학교,high_school,5,1,1,1,manual_review,low,normal
무등중학교,middle_school,2,1,1,1,manual_review,low,normal
운림중학교,middle_school,2,1,1,1,manual_review,low,normal
유덕중학교,middle_school,3,1,1,1,manual_review,low,normal
금호중학교,middle_school,7,1,1,1,manual_review,low,normal
광주대동고등학교,high_school,2,1,1,1,manual_review,low,normal
대자중학교,middle_school,3,1,1,1,manual_review,low,normal
광주무진중학교,middle_school,3,1,1,1,manual_review,low,normal
광주석산고등학교,high_school,3,1,1,1,manual_review,low,normal
대성여자고등학교,high_school,9,1,1,1,manual_review,low,normal
문성고등학교,high_school,10,1,1,1,manual_review,low,normal
숭의과학기술고등학교,high_school,5,1,1,1,manual_review,low,normal
광주수피아여자고등학교,high_school,3,1,1,1,manual_review,low,normal
진남중학교,middle_school,2,1,1,1,manual_review,low,normal
효천중학교,middle_school,2,1,1,1,manual_review,low,normal
송원여자고등학교,high_school,6,1,1,1,manual_review,low,normal
광주효동초등학교,elementary_school,2,1,1,1,manual_review,low,normal
광주경신여자고등학교,high_school,6,1,1,1,manual_review,low,normal
서강고등학교,high_school,13,1,1,1,manual_review,low,normal
한울초등학교,elementary_school,2,1,1,1,manual_review,low,normal
전남여자상업고등학교,high_school,5,1,1,1,manual_review,low,normal
광주예술고등학교,high_school,5,1,1,1,manual_review,low,normal
문흥중학교,middle_school,6,1,1,1,manual_review,low,normal
각화중학교,middle_school,2,1,1,1,manual_review,low,normal
양산중학교,middle_school,4,1,1,1,manual_review,low,normal
지산중학교,middle_school,2,1,1,1,manual_review,low,normal
광주소프트웨어마이스터고등학교,high_school,3,1,1,1,manual_review,low,normal
도산초등학교,elementary_school,3,1,1,1,manual_review,low,normal
광주자동화설비마이스터고등학교,high_school,4,1,1,1,manual_review,low,normal
월봉중학교,middle_school,4,1,1,1,manual_review,low,normal
큰별초등학교,elementary_school,5,1,1,1,manual_review,low,normal
수완고등학교,high_school,6,1,1,1,manual_review,low,normal
장덕고등학교,high_school,8,1,1,1,manual_review,low,normal
선운중학교,middle_school,2,1,1,1,manual_review,low,normal
광일고등학교,high_school,3,1,1,1,manual_review,low,normal
수도전기공업고등학교,high_school,15,1,1,1,manual_review,low,normal
언북중학교,middle_school,3,1,1,1,manual_review,low,normal
휘문고등학교,high_school,11,1,1,1,manual_review,low,normal
은광여자고등학교,high_school,9,1,1,1,manual_review,low,normal
경기고등학교,high_school,5,1,1,1,manual_review,low,normal
서울세명초등학교,elementary_school,2,1,1,1,manual_review,low,normal
서울세종고등학교,high_school,6,1,1,1,manual_review,low,normal
숭실고등학교,high_school,9,1,1,1,manual_review,low,normal
현대고등학교,high_school,6,1,1,1,manual_review,low,normal
진선여자고등학교,high_school,5,1,1,1,manual_review,low,normal
풍문고등학교,high_school,4,1,1,1,manual_review,low,normal
강일고등학교,high_school,7,1,1,1,manual_review,low,normal
배재고등학교,high_school,10,1,1,1,manual_review,low,normal
신명중학교,middle_school,4,1,1,1,manual_review,low,normal
동북고등학교,high_school,9,1,1,1,manual_review,low,normal
명일여자고등학교,high_school,4,1,1,1,manual_review,low,normal
선사고등학교,high_school,6,1,1,1,manual_review,low,normal
솔샘고등학교,high_school,19,1,1,1,manual_review,low,normal
수송중학교,middle_school,5,1,1,1,manual_review,low,normal
혜화여자고등학교,high_school,9,1,1,1,manual_review,low,normal
동양고등학교,high_school,8,1,1,1,manual_review,low,normal
송정중학교,middle_school,3,1,1,1,manual_review,low,normal
명덕여자고등학교,high_school,15,1,1,1,manual_review,low,normal
경복비즈니스고등학교,high_school,19,1,1,1,manual_review,low,normal
공항고등학교,high_school,6,1,1,1,manual_review,low,normal
한서고등학교,high_school,12,1,1,1,manual_review,low,normal
염경중학교,middle_school,5,1,1,1,manual_review,low,normal
한광고등학교,high_school,12,1,1,1,manual_review,low,normal
영락의료과학고등학교,high_school,26,1,1,1,manual_review,low,normal
미림마이스터고등학교,high_school,28,1,1,1,manual_review,low,normal
동국대학교사범대학부속가람고등학교,high_school,5,1,1,1,manual_review,low,normal
세종초등학교,elementary_school,2,1,1,1,manual_review,low,normal
선화예술고등학교,high_school,2,1,1,1,manual_review,low,normal
자양고등학교,high_school,13,1,1,1,manual_review,low,normal
대원여자고등학교,high_school,9,1,1,1,manual_review,low,normal
건국대학교사범대학부속고등학교,high_school,4,1,1,1,manual_review,low,normal
경인중학교,middle_school,7,1,1,1,manual_review,low,normal
고척고등학교,high_school,9,1,1,1,manual_review,low,normal
구현고등학교,high_school,14,1,1,1,manual_review,low,normal
오류고등학교,high_school,7,1,1,1,manual_review,low,normal
신도림고등학교,high_school,4,1,1,1,manual_review,low,normal
덕일전자공업고등학교,high_school,5,1,1,1,manual_review,low,normal
천왕중학교,middle_school,3,1,1,1,manual_review,low,normal
유한공업고등학교,high_school,3,1,1,1,manual_review,low,normal
독산고등학교,high_school,16,1,1,1,manual_review,low,normal
동일여자고등학교,high_school,17,1,1,1,manual_review,low,normal
한국삼육고등학교,high_school,12,1,1,1,manual_review,low,normal
청원여자고등학교,high_school,32,1,1,1,manual_review,low,normal
염광고등학교,high_school,16,1,1,1,manual_review,low,normal
서라벌고등학교,high_school,24,1,1,1,manual_review,low,normal
혜성여자고등학교,high_school,9,1,1,1,manual_review,low,normal
누원고등학교,high_school,6,1,1,1,manual_review,low,normal
서울문화고등학교,high_school,9,1,1,1,manual_review,low,normal
정의여자고등학교,high_school,15,1,1,1,manual_review,low,normal
서울외국어고등학교,high_school,15,1,1,1,manual_review,low,normal
숭인중학교,middle_school,4,1,1,1,manual_review,low,normal
동국대학교사범대학부속고등학교,high_school,7,1,1,1,manual_review,low,normal
해성여자고등학교,high_school,9,1,1,1,manual_review,low,normal
서울정화고등학교,high_school,5,1,1,1,manual_review,low,normal
청량고등학교,high_school,3,1,1,1,manual_review,low,normal
경희여자고등학교,high_school,7,1,1,1,manual_review,low,normal
휘경여자고등학교,high_school,8,1,1,1,manual_review,low,normal
숭의여자고등학교,high_school,11,1,1,1,manual_review,low,normal
경문고등학교,high_school,2,1,1,1,manual_review,low,normal
서울영본초등학교,elementary_school,2,1,1,1,manual_review,low,normal
동작고등학교,high_school,10,1,1,1,manual_review,low,normal
상현중학교,middle_school,8,1,1,1,manual_review,low,normal
수도여자고등학교,high_school,5,1,1,1,manual_review,low,normal
중앙대학교사범대학부속중학교,middle_school,5,1,1,1,manual_review,low,normal
창천중학교,middle_school,2,1,1,1,manual_review,low,normal
숭문고등학교,high_school,3,1,1,1,manual_review,low,normal
서울망원초등학교,elementary_school,2,1,1,1,manual_review,low,normal
상암고등학교,high_school,5,1,1,1,manual_review,low,normal
홍익대학교사범대학부속여자고등학교,high_school,8,1,1,1,manual_review,low,normal
광성고등학교,high_school,4,1,1,1,manual_review,low,normal
한세사이버보안고등학교,high_school,4,1,1,1,manual_review,low,normal
홍익디자인고등학교,high_school,3,1,1,1,manual_review,low,normal
서울디자인고등학교,high_school,6,1,1,1,manual_review,low,normal
중암중학교,middle_school,2,1,1,1,manual_review,low,normal
연희중학교,middle_school,3,1,1,1,manual_review,low,normal
이화여자대학교사범대학부속이화금란고등학교,high_school,3,1,1,1,manual_review,low,normal
가재울고등학교,high_school,3,1,1,1,manual_review,low,normal
중앙여자고등학교,high_school,6,1,1,1,manual_review,low,normal
연북중학교,middle_school,4,1,1,1,manual_review,low,normal
동명여자중학교,middle_school,2,1,1,1,manual_review,low,normal
명지고등학교,high_school,7,1,1,1,manual_review,low,normal
인왕중학교,middle_school,5,1,1,1,manual_review,low,normal
세화여자고등학교,high_school,13,1,1,1,manual_review,low,normal
서문여자고등학교,high_school,12,1,1,1,manual_review,low,normal
양재고등학교,high_school,12,1,1,1,manual_review,low,normal
언남고등학교,high_school,4,1,1,1,manual_review,low,normal
영동중학교,middle_school,4,1,1,1,manual_review,low,normal
신동중학교,middle_school,4,1,1,1,manual_review,low,normal
마장중학교,middle_school,4,1,1,1,manual_review,low,normal
한양대학교사범대학부속고등학교,high_school,4,1,1,1,manual_review,low,normal
