source_sheet,source_row,region_id,region_name,school_name,normalized_school_name,school_level,sido,sigungu,source_region_status,relation_context
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,2,kr-b300-ad6c,대구,강동고등학교,강동고등학교,high_school,대구,,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,3,kr-b300-ad6c-kr-b300-ad6c-bd81-ad6c,대구북구,구암고등학교,구암고등학교,high_school,대구,대구북구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
대구,4,kr-b300-ad6c-kr-b300-ad6c-b0a8-ad6c,대구남구,경일여자고등학교,경일여자고등학교,high_school,대구,대구남구,normal,source_reference
