normalized_school_name,school_level,reference_count,region_count,sigungu_count,sido_count,classification,confidence,source_region_statuses
전주한일고등학교,high_school,11,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
대인고등학교,high_school,175,13,12,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
신송고등학교,high_school,136,9,8,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
작전여자고등학교,high_school,16,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
계산고등학교,high_school,23,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인천세원고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
도림고등학교,high_school,14,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인명여자고등학교,high_school,12,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인항고등학교,high_school,15,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인천영선고등학교,high_school,23,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인천마전고등학교,high_school,16,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인천신현고등학교,high_school,14,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인천이음고등학교,high_school,16,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인천여자고등학교,high_school,21,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
옥련여자고등학교,high_school,17,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
인천중산고등학교,high_school,10,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
서원고등학교,high_school,29,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
주성고등학교,high_school,48,5,3,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
산남고등학교,high_school,70,8,3,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
금천고등학교,high_school,13,3,3,3,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
충북고등학교,high_school,15,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
청주중앙여자고등학교,high_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
흥덕고등학교,high_school,17,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
기성중학교,middle_school,3,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
남선초등학교,elementary_school,2,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
장동초등학교,elementary_school,2,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
송도중학교,middle_school,5,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
청천중학교,middle_school,8,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
가좌고등학교,high_school,15,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
양사초등학교,elementary_school,2,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
상일여자고등학교,high_school,21,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
송학초등학교,elementary_school,3,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
신광중학교,middle_school,8,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
영천중학교,middle_school,9,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
중산고등학교,high_school,17,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
영동고등학교,high_school,12,2,2,2,DIFFERENT_SCHOOLS_SAME_NAME,high,normal
